Frame#,Time,Angle
1000,16.65,160.5226
1001,16.667,160.53308
1002,16.683,160.54486
1003,16.7,160.55446
1004,16.717,160.55936
1005,16.733,160.55821
1006,16.75,160.55028
1007,16.767,160.53558
1008,16.783,160.51497
1009,16.8,160.49042
1010,16.817,160.46457
1011,16.833,160.44043
1012,16.85,160.42035
1013,16.867,160.40556
1014,16.883,160.39647
1015,16.9,160.39256
1016,16.917,160.39229
1017,16.933,160.39397
1018,16.95,160.39729
1019,16.967,160.40346
1020,16.983,160.41371
1021,17,160.42853
1022,17.017,160.44653
1023,17.033,160.46414
1024,17.05,160.47816
1025,17.067,160.48882
1026,17.083,160.49843
1027,17.1,160.5083
1028,17.117,160.51781
1029,17.133,160.52567
1030,17.15,160.53108
1031,17.167,160.53433
1032,17.183,160.53679
1033,17.2,160.54013
1034,17.217,160.5446
1035,17.233,160.54826
1036,17.25,160.54794
1037,17.267,160.54137
1038,17.283,160.52791
1039,17.3,160.50836
1040,17.317,160.48416
1041,17.333,160.4575
1042,17.35,160.43069
1043,17.367,160.40533
1044,17.383,160.38219
1045,17.4,160.36165
1046,17.417,160.34468
1047,17.433,160.3333
1048,17.45,160.33038
1049,17.467,160.33812
1050,17.483,160.35689
1051,17.5,160.38464
1052,17.517,160.41689
1053,17.533,160.44853
1054,17.55,160.47636
1055,17.567,160.49945
1056,17.583,160.51752
1057,17.6,160.53064
1058,17.617,160.54042
1059,17.633,160.5497
1060,17.65,160.56076
1061,17.667,160.57391
1062,17.683,160.58798
1063,17.7,160.60173
1064,17.717,160.61475
1065,17.733,160.6272
1066,17.75,160.6393
1067,17.767,160.65085
1068,17.783,160.66112
1069,17.8,160.66953
1070,17.817,160.67606
1071,17.833,160.68091
1072,17.85,160.6839
1073,17.867,160.68463
1074,17.883,160.68304
1075,17.9,160.68007
1076,17.917,160.67703
1077,17.933,160.67513
1078,17.95,160.67471
1079,17.967,160.67563
1080,17.983,160.67763
1081,18,160.681
1082,18.017,160.68608
1083,18.033,160.69273
1084,18.05,160.70012
1085,18.067,160.70732
1086,18.083,160.71376
1087,18.1,160.71898
1088,18.117,160.72192
1089,18.133,160.72128
1090,18.15,160.71678
1091,18.167,160.7094
1092,18.183,160.70024
1093,18.2,160.68945
1094,18.217,160.6769
1095,18.233,160.66348
1096,18.25,160.65088
1097,18.267,160.64009
1098,18.283,160.63054
1099,18.3,160.62067
1100,18.317,160.60857
1101,18.333,160.59256
1102,18.35,160.57088
1103,18.367,160.54155
1104,18.383,160.50211
1105,18.4,160.44933
1106,18.417,160.38054
1107,18.433,160.29581
1108,18.45,160.19882
1109,18.467,160.09557
1110,18.483,159.99187
1111,18.5,159.89207
1112,18.517,159.79919
1113,18.533,159.71631
1114,18.55,159.64647
1115,18.567,159.59129
1116,18.583,159.55035
1117,18.6,159.52182
1118,18.617,159.50343
1119,18.633,159.4929
1120,18.65,159.48892
1121,18.667,159.49152
1122,18.683,159.5022
1123,18.7,159.52293
1124,18.717,159.55461
1125,18.733,159.59662
1126,18.75,159.64546
1127,18.767,159.69341
1128,18.783,159.73021
1129,18.8,159.74879
1130,18.817,159.7489
1131,18.833,159.73564
1132,18.85,159.71683
1133,18.867,159.70164
1134,18.883,159.70009
1135,18.9,159.72047
1136,18.917,159.76717
1137,18.933,159.84036
1138,18.95,159.93594
1139,18.967,160.04259
1140,18.983,160.14226
1141,19,160.21805
1142,19.017,160.26321
1143,19.033,160.28316
1144,19.05,160.28923
1145,19.067,160.29236
1146,19.083,160.30141
1147,19.1,160.32376
1148,19.117,160.36369
1149,19.133,160.4192
1150,19.15,160.48264
1151,19.167,160.5455
1152,19.183,160.60309
1153,19.2,160.6543
1154,19.217,160.69728
1155,19.233,160.72771
1156,19.25,160.74155
1157,19.267,160.7373
1158,19.283,160.71622
1159,19.3,160.68192
1160,19.317,160.63895
1161,19.333,160.59265
1162,19.35,160.5515
1163,19.367,160.52518
1164,19.383,160.51964
1165,19.4,160.5349
1166,19.417,160.56471
1167,19.433,160.59735
1168,19.45,160.62073
1169,19.467,160.62805
1170,19.483,160.61841
1171,19.5,160.59479
1172,19.517,160.56326
1173,19.533,160.53125
1174,19.55,160.50562
1175,19.567,160.49202
1176,19.583,160.49385
1177,19.6,160.51083
1178,19.617,160.53978
1179,19.633,160.57797
1180,19.65,160.62598
1181,19.667,160.68665
1182,19.683,160.7617
1183,19.7,160.85056
1184,19.717,160.95116
1185,19.733,161.0601
1186,19.75,161.1731
1187,19.767,161.28812
1188,19.783,161.40494
1189,19.8,161.51573
1190,19.817,161.59279
1191,19.833,161.58327
1192,19.85,161.41757
1193,19.867,161.02713
1194,19.883,160.35892
1195,19.9,159.38618
1196,19.917,158.11565
1197,19.933,156.58157
1198,19.95,154.83237
1199,19.967,152.9201
1200,19.983,150.89224
1201,20,148.78473
1202,20.017,146.61836
1203,20.033,144.405
1204,20.05,142.15521
1205,20.067,139.87764
1206,20.083,137.57758
1207,20.1,135.25728
1208,20.117,132.91937
1209,20.133,130.57771
1210,20.15,128.26181
1211,20.167,126.00742
1212,20.183,123.84876
1213,20.2,121.81284
1214,20.217,119.91093
1215,20.233,118.1364
1216,20.25,116.47365
1217,20.267,114.91119
1218,20.283,113.45219
1219,20.3,112.1128
1220,20.317,110.91187
1221,20.333,109.86697
1222,20.35,108.99387
1223,20.367,108.29822
1224,20.383,107.76728
1225,20.4,107.37122
1226,20.417,107.08015
1227,20.433,106.88396
1228,20.45,106.79338
1229,20.467,106.82654
1230,20.483,107.00656
1231,20.5,107.37097
1232,20.517,107.97128
1233,20.533,108.85674
1234,20.55,110.05696
1235,20.567,111.5777
1236,20.583,113.40697
1237,20.6,115.51739
1238,20.617,117.86143
1239,20.633,120.36977
1240,20.65,122.96096
1241,20.667,125.56023
1242,20.683,128.11526
1243,20.7,130.6032
1244,20.717,133.02602
1245,20.733,135.39632
1246,20.75,137.72331
1247,20.767,140.00703
1248,20.783,142.24062
1249,20.8,144.41855
1250,20.817,146.54193
1251,20.833,148.61607
1252,20.85,150.64081
1253,20.867,152.60074
1254,20.883,154.46465
1255,20.9,156.19165
1256,20.917,157.73694
1257,20.933,159.0594
1258,20.95,160.13091
1259,20.967,160.94339
1260,20.983,161.50461
1261,21,161.82771
1262,21.017,161.92935
1263,21.033,161.83676
1264,21.05,161.58871
1265,21.067,161.22752
1266,21.083,160.79352
1267,21.1,160.32524
1268,21.117,159.8587
1269,21.133,159.42299
1270,21.15,159.0365
1271,21.167,158.70723
1272,21.183,158.43568
1273,21.2,158.21841
1274,21.217,158.05052
1275,21.233,157.92673
1276,21.25,157.84103
1277,21.267,157.78586
1278,21.283,157.75208
1279,21.3,157.73157
1280,21.317,157.72052
1281,21.333,157.72076
1282,21.35,157.74083
1283,21.367,157.79567
1284,21.383,157.90303
1285,21.4,158.07834
1286,21.417,158.33331
1287,21.433,158.67592
1288,21.45,159.10678
1289,21.467,159.6152
1290,21.483,160.1799
1291,21.5,160.76782
1292,21.517,161.32993
1293,21.533,161.80331
1294,21.55,162.12115
1295,21.567,162.22026
1296,21.583,162.04663
1297,21.6,161.56424
1298,21.617,160.76009
1299,21.633,159.64238
1300,21.65,158.23795
1301,21.667,156.58675
1302,21.683,154.73561
1303,21.7,152.73503
1304,21.717,150.63127
1305,21.733,148.45615
1306,21.75,146.22627
1307,21.767,143.94682
1308,21.783,141.61378
1309,21.8,139.2215
1310,21.817,136.77382
1311,21.833,134.28654
1312,21.85,131.78387
1313,21.867,129.29999
1314,21.883,126.87959
1315,21.9,124.57072
1316,21.917,122.41663
1317,21.933,120.45
1318,21.95,118.68377
1319,21.967,117.1009
1320,21.983,115.65656
1321,22,114.29906
1322,22.017,112.99432
1323,22.033,111.74052
1324,22.05,110.56417
1325,22.067,109.49947
1326,22.083,108.56713
1327,22.1,107.76574
1328,22.117,107.07234
1329,22.133,106.45267
1330,22.15,105.8813
1331,22.167,105.35905
1332,22.183,104.9142
1333,22.2,104.58849
1334,22.217,104.42173
1335,22.233,104.4418
1336,22.25,104.65824
1337,22.267,105.06398
1338,22.283,105.64416
1339,22.3,106.3801
1340,22.317,107.24839
1341,22.333,108.22123
1342,22.35,109.27426
1343,22.367,110.39915
1344,22.383,111.6066
1345,22.4,112.91693
1346,22.417,114.35294
1347,22.433,115.93571
1348,22.45,117.67085
1349,22.467,119.53895
1350,22.483,121.50862
1351,22.5,123.55419
1352,22.517,125.6571
1353,22.533,127.79961
1354,22.55,129.96167
1355,22.567,132.12025
1356,22.583,134.25044
1357,22.6,136.33305
1358,22.617,138.36189
1359,22.633,140.34306
1360,22.65,142.29019
1361,22.667,144.22066
1362,22.683,146.14577
1363,22.7,148.05522
1364,22.717,149.91837
1365,22.733,151.70255
1366,22.75,153.38402
1367,22.767,154.94734
1368,22.783,156.38361
1369,22.8,157.68904
1370,22.817,158.8596
1371,22.833,159.88794
1372,22.85,160.76959
1373,22.867,161.50789
1374,22.883,162.1091
1375,22.9,162.57283
1376,22.917,162.88797
1377,22.933,163.04245
1378,22.95,163.03896
1379,22.967,162.89648
1380,22.983,162.6395
1381,23,162.29445
1382,23.017,161.89081
1383,23.033,161.45694
1384,23.05,161.01553
1385,23.067,160.5844
1386,23.083,160.17886
1387,23.1,159.81316
1388,23.117,159.49969
1389,23.133,159.24673
1390,23.15,159.05489
1391,23.167,158.91335
1392,23.183,158.80141
1393,23.2,158.69791
1394,23.217,158.59151
1395,23.233,158.48288
1396,23.25,158.37944
1397,23.267,158.28923
1398,23.283,158.21843
1399,23.3,158.17049
1400,23.317,158.14478
1401,23.333,158.13557
1402,23.35,158.1342
1403,23.367,158.13159
1404,23.383,158.12045
1405,23.4,158.09645
1406,23.417,158.05829
1407,23.433,158.0071
1408,23.45,157.94659
1409,23.467,157.88344
1410,23.483,157.82668
1411,23.5,157.78674
1412,23.517,157.77486
1413,23.533,157.80301
1414,23.55,157.88405
1415,23.567,158.03159
1416,23.583,158.25731
1417,23.6,158.5652
1418,23.617,158.94566
1419,23.633,159.37624
1420,23.65,159.83028
1421,23.667,160.28392
1422,23.683,160.71437
1423,23.7,161.09599
1424,23.717,161.40292
1425,23.733,161.61572
1426,23.75,161.72279
1427,23.767,161.71289
1428,23.783,161.56628
1429,23.8,161.25346
1430,23.817,160.74405
1431,23.833,160.01526
1432,23.85,159.04909
1433,23.867,157.83101
1434,23.883,156.36476
1435,23.9,154.68509
1436,23.917,152.84605
1437,23.933,150.89587
1438,23.95,148.86511
1439,23.967,146.77246
1440,23.983,144.63148
1441,24,142.45311
1442,24.017,140.25014
1443,24.033,138.04536
1444,24.05,135.87144
1445,24.067,133.75854
1446,24.083,131.72581
1447,24.1,129.78369
1448,24.117,127.93732
1449,24.133,126.18237
1450,24.15,124.50138
1451,24.167,122.87263
1452,24.183,121.28331
1453,24.2,119.731
1454,24.217,118.21834
1455,24.233,116.75033
1456,24.25,115.33488
1457,24.267,113.98225
1458,24.283,112.70203
1459,24.3,111.49931
1460,24.317,110.37354
1461,24.333,109.32191
1462,24.35,108.34434
1463,24.367,107.44774
1464,24.383,106.64569
1465,24.4,105.95291
1466,24.417,105.3795
1467,24.433,104.93197
1468,24.45,104.61506
1469,24.467,104.43027
1470,24.483,104.37377
1471,24.5,104.43579
1472,24.517,104.60364
1473,24.533,104.87073
1474,24.55,105.24747
1475,24.567,105.7606
1476,24.583,106.43999
1477,24.6,107.3036
1478,24.617,108.34965
1479,24.633,109.5569
1480,24.65,110.89202
1481,24.667,112.31731
1482,24.683,113.79345
1483,24.7,115.28582
1484,24.717,116.77774
1485,24.733,118.27756
1486,24.75,119.80911
1487,24.767,121.39236
1488,24.783,123.03576
1489,24.8,124.74429
1490,24.817,126.52209
1491,24.833,128.36481
1492,24.85,130.25598
1493,24.867,132.16837
1494,24.883,134.06293
1495,24.9,135.89645
1496,24.917,137.64429
1497,24.933,139.31339
1498,24.95,140.92943
1499,24.967,142.51927
1500,24.983,144.10489
1501,25,145.70253
1502,25.017,147.3219
1503,25.033,148.96161
1504,25.05,150.60475
1505,25.067,152.22221
1506,25.083,153.78194
1507,25.1,155.25401
1508,25.117,156.61171
1509,25.133,157.83414
1510,25.15,158.90929
1511,25.167,159.83429
